ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000519.SZ,20200917,10.19,10.28,9.94,10.12,10.19,-0.07000000000000028,-0.6869,343517.5,347401.996
000519.SZ,20200916,10.48,10.49,10.08,10.19,10.56,-0.370000000000001,-3.5038,460618.94,471189.09
000519.SZ,20200915,10.51,10.71,10.38,10.56,10.54,0.02000000000000135,0.1898,384509.51,405352.244
000519.SZ,20200914,10.66,10.78,10.45,10.54,10.64,-0.10000000000000142,-0.9398,423200.06,449124.332
000519.SZ,20200911,10.77,10.77,10.28,10.64,11.01,-0.3699999999999992,-3.3606,587540.82,619787.308
000519.SZ,20200910,12.05,12.14,10.99,11.01,12.21,-1.200000000000001,-9.828,957171.9,1107296.862
000519.SZ,20200909,11.6,12.58,11.52,12.21,11.77,0.4400000000000013,3.7383,1287663.19,1549492.08
000519.SZ,20200908,11.71,11.93,11.4,11.77,11.54,0.23000000000000043,1.9931,729242.4,854641.259
000519.SZ,20200907,11.69,11.95,11.38,11.54,11.8,-0.26000000000000156,-2.2034,724374.0,840161.047
000519.SZ,20200904,11.6,11.92,11.55,11.8,11.94,-0.1399999999999988,-1.1725,624991.34,732730.212
000519.SZ,20200903,11.26,12.2,11.03,11.94,11.28,0.6600000000000001,5.8511,1036266.53,1207403.994
000519.SZ,20200902,11.35,11.41,11.16,11.28,11.5,-0.22000000000000064,-1.913,499970.77,563704.505
000519.SZ,20200901,11.27,11.67,11.21,11.5,10.96,0.5399999999999991,4.927,821847.53,941683.705
000519.SZ,20200831,10.9,11.18,10.87,10.96,10.92,0.040000000000000924,0.3663,426533.75,469331.123
000519.SZ,20200828,10.63,11.03,10.6,10.92,10.63,0.28999999999999915,2.7281,431391.28,469562.235
000519.SZ,20200827,10.46,10.74,10.28,10.63,10.45,0.1800000000000015,1.7225,322947.42,339654.84
000519.SZ,20200826,10.77,10.81,10.29,10.45,10.75,-0.3000000000000007,-2.7907,374990.83,394766.798
000519.SZ,20200825,11.03,11.1,10.65,10.75,10.9,-0.15000000000000036,-1.3761,343822.72,373416.125
000519.SZ,20200824,10.88,10.95,10.77,10.9,10.75,0.15000000000000036,1.3953,255205.51,277677.428
000519.SZ,20200821,10.93,11.1,10.62,10.75,10.94,-0.1899999999999995,-1.7367,384125.34,416503.411
000519.SZ,20200820,11.08,11.27,10.88,10.94,11.2,-0.2599999999999998,-2.3214,415651.95,459055.01
000519.SZ,20200819,11.41,11.56,11.16,11.2,11.54,-0.33999999999999986,-2.9463,595217.3,674838.389
000519.SZ,20200818,11.39,11.67,11.33,11.54,11.44,0.09999999999999964,0.8741,662915.21,763650.064
000519.SZ,20200817,11.32,11.56,11.14,11.44,11.28,0.16000000000000014,1.4184,649006.51,741377.614
